YEAR,COMPANY,PRICE,Sell,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLE,INVENTORY,DEBTS,Name,Sector,CPALTT01USM657N_PC1,GDP,GDP_PC1,T10Y2Y,M1SL_PC1,M1SL,Earnings_next_year,PROFIT
2021,A,127.690002,0,303440000,38746254206.88,719000000,2502000000,5339000000,1441000000,0,1038000000,720000000,75000000,Agilent Technologies,Health Care,#N/A,#N/A,#N/A,1.2,#N/A,#N/A,NA,-100
2020,A,68.919998,125.034003,309000000,21296279382,1071000000,2358000000,5163000000,1382000000,0,930000000,679000000,616000000,Agilent Technologies,Health Care,-39.9,20893.746,-2.2,0.5,232.8,12792.9,719000000,81.4190461816322
2019,A,81.559998,82.642001,314000000,25609839372,316000000,2227000000,4914000000,2247000000,0,776000000,638000000,0,Agilent Technologies,Health Care,19.3,21372.582,4.1,0.2,4.5,3844.3,1071000000,1.3266344121293385
2018,A,64.43,81.850998,321000000,20682030000,684000000,2063000000,4472000000,2678000000,0,724000000,575000000,210000000,Agilent Technologies,Health Care,-9.3,20527.159,5.4,0.4,4.4,3680.4,316000000,27.038643489057883
2017,A,53.200001,67.792997,322000000,17130400322,462000000,2005000000,4202000000,2289000000,0,631000000,533000000,0,Agilent Technologies,Health Care,1.7,19479.623,4.2,0.9,8.5,3523.9,684000000,27.43044309341272
2016,A,40.310001,52.517001,326000000,13141060326,401000000,1997000000,4038000000,2003000000,0,606000000,541000000,0,Agilent Technologies,Health Care,180.4,18695.106,2.7,1,7.5,3248.5,462000000,30.28280748492167
2015,A,41.389999,38.905,333000000,13782869667,504000000,3388000000,6981000000,3028000000,0,983000000,1072000000,0,Agilent Technologies,Health Care,-3.7,18206.024,3.7,1.5,7.3,3021.8,401000000,-6.003863397049132
2014,A,40.314735,43.083264,333000000,13424806755,724000000,3247000000,6782000000,2675000000,0,899000000,1066000000,0,Agilent Technologies,Health Care,-49.1,17550.688,4.2,2.1,10.4,2815.1,504000000,6.867288101980582
2013,A,29.277538,40.831189,341000000,9983640458,1153000000,3254000000,6858000000,2351000000,0,923000000,1014000000,250000000,Agilent Technologies,Health Care,-13.8,16843.196,3.6,2,10.1,2549.6,724000000,39.46250876695985
2012,A,32.09585,30.20744,348000000,11169356496,1012000000,3086000000,6615000000,3527000000,0,860000000,898000000,253000000,Agilent Technologies,Health Care,-40.8,16253.970,4.2,1.5,15.2,2315.3,1153000000,-5.883657856077968
2011,A,32.28898,31.58798,347000000,11204276754,684000000,2514000000,5444000000,2649000000,0,869000000,716000000,1501000000,Agilent Technologies,Health Care,97.1,15599.732,3.7,2.3,15.4,2010.2,1012000000,-2.1710193384863827
