"","YEAR","COMPANY","PRICE","Sell","VOLUME","MARKET.CAP","EARNINGS","COGS","SALES","CASH","INVESTMENTS","RECEIVABLE","INVENTORY","DEBTS","Name","Sector","CPALTT01USM657N_PC1","GDP","GDP_PC1","T10Y2Y","M1SL_PC1","M1SL","Earnings_next_year","PROFIT"
"1",2021,"AAL",23.860001,0,641380000,15303327441.38,-8.885e+09,2.4933e+10,1.7337e+10,2.45e+08,6.619e+09,1.342e+09,1.614e+09,2.797e+09,"American Airlines Group","Industrials","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"2",2020,"AAL",10.69,21.18,483888000,5172762720,1.686e+09,3.5379e+10,4.5768e+10,2.8e+08,3.546e+09,1.75e+09,1.851e+09,2.861e+09,"American Airlines Group","Industrials","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",-8.885e+09,98.1290926099158
"3",2019,"AAL",32.349998,19.260001,443363000,14342792163.274,1.412e+09,3.449e+10,4.4541e+10,2.75e+08,4.485e+09,1.706e+09,1.522e+09,3.294e+09,"American Airlines Group","Industrials","19.3","21372.582","4.1",0.2,"4.5","3844.3",1.686e+09,-40.4636717442765
"4",2018,"AAL",49.779999,35.039999,464236000,23109667615.764,1.919e+09,3.1154e+10,4.2207e+10,2.95e+08,4.771e+09,1.752e+09,1.359e+09,2.554e+09,"American Airlines Group","Industrials","-9.3","20527.159","5.4",0.4,"4.4","3680.4",1.412e+09,-29.6102858499455
"5",2017,"AAL",42.450001,53.88,489164000,20765012289.164,2.676e+09,2.8339e+10,4.018e+10,3.22e+08,6.037e+09,1.594e+09,1.094e+09,1.855e+09,"American Airlines Group","Industrials","1.7","19479.623","4.2",0.9,"8.5","3523.9",1.919e+09,26.9257920629967
"6",2016,"AAL",39.52,47.49,552308000,21827212160,7.61e+09,2.7967e+10,4.099e+10,3.9e+08,5.864e+09,1.425e+09,8.63e+08,2.231e+09,"American Airlines Group","Industrials","180.4","18695.106","2.7",1,"7.5","3248.5",2.676e+09,20.167004048583
"7",2015,"AAL",50.439999,42.230002,668393000,33713742251.607,2.882e+09,3.1939e+10,4.265e+10,9.94e+08,6.309e+09,1.771e+09,1.004e+09,1.708e+09,"American Airlines Group","Industrials","-3.7","18206.024","3.7",1.5,"7.3","3021.8",7.61e+09,-16.2767588476756
"8",2014,"AAL",37.939999,48.610001,717456000,27220279922.544,-1.834e+09,2.0658e+10,2.6743e+10,1.14e+09,8.111e+09,1.56e+09,1.012e+09,1.446e+09,"American Airlines Group","Industrials","-49.1","17550.688","4.2",2.1,"10.4","2815.1",2.882e+09,28.1233586748381
"9",2013,"AAL",16.67,36.099998,107645000,1794442150,-1.876e+09,2.0419e+10,2.4855e+10,4.8e+08,3.412e+09,1.124e+09,5.8e+08,1.388e+09,"American Airlines Group","Industrials","-13.8","16843.196","3.6",2,"10.1","2549.6",-1.834e+09,116.556676664667
"10",2012,"AAL",7.47,13.61,125122500,934665075,-1.979e+09,1.1682e+10,2.3979e+10,2.83e+08,3.718e+09,9.02e+08,6.17e+08,1.518e+09,"American Airlines Group","Industrials","-40.8","16253.970","4.2",1.5,"15.2","2315.3",-1.876e+09,82.1954484605087
